"year","location","n","longitude","latitude"
1882,"Cranberry Isles",1,-68.27013482,44.2585131
1882,"Damiscove Islands",1,-69.613228,43.762128
1882,"Deer Isle",3,-68.67589735,44.21412573
1882,"Execution Rocks Light",2,-73.737861,40.878139
1882,"Falkner Island",2,-72.65319,41.21088
1882,"Fox Islands",9,-68.8639267338772,44.1465638197881
1882,"Fox Islands",9,-69.7919898,43.7306406
1882,"Franklin",27,-68.225999096,44.585497658
1882,"Gloucester",2,-70.66199,42.61593
1882,"Highland Light",3,-70.0621,42.03926
1882,"Iron Bound",1,-68.133407,44.39197
1882,"Little River",3,-67.2021180472245,44.6526698980649
1882,"Long Island",6,-73.3,40.8
1882,"Mark Island",3,-68.088018,44.362014
1882,"Matinicus Rock",5,-68.855033,43.783473
1882,"Pemaquid Point",1,-69.5097685,43.840639
1882,"Perry",2,-67.072166378,44.97166278
1882,"Point Judith",2,-71.48139,41.3615
1882,"Portland",15,-70.310425,43.680031
1882,"Portsmouth",1,-70.762245,43.071568
1882,"Rockland",3,-69.10869077,44.1041007
1882,"Schoodic Peninsula",4,-68.068335,44.335923
1882,"Southwest Harbor",2,-68.324276961999,44.2792004289633
1882,"Stratford Shoal Light",1,-73.102912,41.151911
1882,"Thacher Island",12,-70.576309,42.637592
1882,"West Gouldsboro",2,-68.09937127,44.46922347
1882,"West Quoddy",3,-66.950649,44.815133
1882,"Whitehead Island",4,-69.1294875,43.9800823
1882,"Winter Harbor",123,-68.09811741,44.39116851
1882,"Wood Island",5,-70.3332596098111,43.4579679566059
1883,"Bar Harbor",7,-68.212219,44.387699
1883,"Block Island",2,-71.584267,41.161655
1883,"Boon Island",3,-70.47166478,43.11916619
1883,"Boston",7,-71.057083,42.361145
1883,"Egg Rock",2,-68.138067,44.354544
1883,"Ellsworth",1,-68.42420475,44.54105229
1883,"Falkner Island",1,-72.65319,41.21088
1883,"Franklin",2,-68.225999096,44.585497658
1883,"Gouldsboro",3,-68.03461,44.485087
1883,"Isles of Shoals",1,-70.606830906,42.975496098
1883,"Long Island",3,-73.3,40.8
1883,"Matinicus Rock",3,-68.855033,43.783473
1883,"Point Judith",6,-71.48139,41.3615
1883,"Portland",1,-70.310425,43.680031
1883,"Portsmouth",6,-70.762245,43.071568
1883,"Rockland",1,-69.10869077,44.1041007
1883,"Stave Island",1,-70.0875475,43.7159161
1883,"Winter Harbor",51,-68.09811741,44.39116851
1883,"Wood Island",2,-70.3332596098111,43.4579679566059
1884,"Bar Harbor",3,-68.212219,44.387699
1884,"Bass Harbor",6,-68.34644791,44.23879938
1884,"Block Island",8,-71.584267,41.161655
1884,"Boon Island",2,-70.47166478,43.11916619
1884,"Boothbay",1,-69.633497466,43.87249651
1884,"Boston",2,-71.057083,42.361145
1884,"Cape Elizabeth",2,-70.20005,43.563698
1884,"Cranberry Isles",2,-68.27013482,44.2585131
1884,"Deer Isle",4,-68.67589735,44.21412573
1884,"Egg Rock",2,-68.138067,44.354544
1884,"Ellsworth",3,-68.42420475,44.54105229
1884,"Falkner Island",1,-72.65319,41.21088
1884,"Franklin",10,-68.225999096,44.585497658
1884,"Hancock",1,-68.2534335,44.52816854
1884,"Iron Bound",1,-68.133407,44.39197
1884,"Isles of Shoals",1,-70.606830906,42.975496098
1884,"Long Island",1,-73.3,40.8
1884,"Mark Island",2,-68.088018,44.362014
1884,"Matinicus Rock",4,-68.855033,43.783473
1884,"Point Judith",4,-71.48139,41.3615
1884,"Portland",6,-70.310425,43.680031
1884,"Portsmouth",4,-70.762245,43.071568
1884,"Stave Island",4,-70.0875475,43.7159161
1884,"Turtle Island",3,-70.03422,44.43423
1884,"West Gouldsboro",7,-68.09937127,44.46922347
1884,"Winter Harbor",68,-68.09811741,44.39116851
1885,"Winter Harbor",61,-68.09811741,44.39116851
